,X,Date,Cloud,Disc,Humidity,MaxTemp,MinTemp,Pressure,Rain,WindDir,WindSpeed,Failure.Rate,Temp,Total_Failures,Water_Failures,Heat_Failures,NA_Failures,Ferrule_Failures,Excessive Heat,PLIC Joint Failures,,
57,57,2/26/2016,10,Patchy rain possible,63,26,21,1016,1.1,W,11,0,22.4,0,0,0,0,0,0,0,,
58,58,2/27/2016,7,Sunny,56,27,22,1017,0,WNW,9,0,24.6,0,0,0,0,0,0,0,,
59,59,2/28/2016,17,Light rain shower,56,28,24,1017,1.7,WSW,9,0,25.6,0,0,0,0,0,0,0,,
60,60,2/29/2016,27,Partly cloudy,54,27,24,1016,0,SSW,11,1,25.1,0.055555555555556,0.055555555555556,0,0,0,0,0,,
61,61,3/1/2016,2,Sunny,65,25,22,1015,0,W,18,1,22.3,0.055555555555556,0,0.055555555555556,0,0,0.055555555555556,0,,
62,62,3/2/2016,0,Sunny,53,25,21,1014,0,SW,9,1,21.6,0.055555555555556,0.055555555555556,0,0.055555555555556,0,0,0,,
63,63,3/3/2016,2,Sunny,52,27,21,1015,0,ENE,16,5,24.2,0.277777777777778,0.166666666666667,0.111111111111111,0.111111111111111,0,0,0.111111111111111,,
64,64,3/4/2016,22,Partly cloudy,57,27,22,1015,0,E,12,0,24.4,0,0,0,0,0,0,0,,
65,65,3/5/2016,12,Patchy rain possible,55,28,23,1012,0.4,SSE,11,2,25.1,0.111111111111111,0.055555555555556,0.055555555555556,0.055555555555556,0,0,0.055555555555556,,
66,66,3/6/2016,6,Sunny,54,28,24,1010,0,SSE,10,1,25.2,0.055555555555556,0,0.055555555555556,0.111111111111111,0,0,0.055555555555556,,
67,67,3/7/2016,13,Patchy rain possible,57,28,24,1011,1.7,SSW,11,0,25.1,0,0,0,0,0,0,0,,
68,68,3/8/2016,18,Patchy light rain with thunder,59,28,24,1011,5.7,SE,8,1,24.4,0.055555555555556,0,0.055555555555556,0.055555555555556,0,0,0.055555555555556,,
69,69,3/9/2016,38,Moderate or heavy rain shower,66,27,24,1011,8.9,SSE,11,5,21.3,0.277777777777778,0.277777777777778,0,0.222222222222222,0,0,0,,
70,70,3/10/2016,13,Patchy rain possible,67,25,22,1012,0.2,W,13,3,22.9,0.166666666666667,0.166666666666667,0,0.333333333333333,0,0,0,,
71,71,3/11/2016,7,Partly cloudy,63,26,22,1014,0,WSW,12,1,22.3,0.055555555555556,0.055555555555556,0,0.166666666666667,0,0,0,,
72,72,3/12/2016,5,Patchy rain possible,52,27,22,1012,0.4,WSW,10,0,24.1,0,0,0,0.111111111111111,0,0,0,,
73,73,3/13/2016,4,Sunny,57,28,23,1012,0,WSW,15,1,24.1,0.055555555555556,0.055555555555556,0,0.166666666666667,0,0,0,,
74,74,3/14/2016,17,Patchy rain possible,57,27,23,1012,0.4,WSW,15,0,24.1,0,0,0,0.222222222222222,0,0,0,,
75,75,3/15/2016,23,Sunny,60,28,24,1011,0,SW,11,1,26.1,0.055555555555556,0.055555555555556,0,0.222222222222222,0,0,0,,
76,76,3/16/2016,38,Partly cloudy,57,27,25,1012,0.4,WNW,17,1,25.2,0.055555555555556,0.055555555555556,0,0.166666666666667,0,0,0,,
77,77,3/17/2016,56,Partly cloudy,52,28,25,1012,0.6,W,17,1,24.4,0.055555555555556,0,0.055555555555556,0,0,0,0.055555555555556,,
78,78,3/18/2016,12,Partly cloudy,51,27,23,1013,0.1,W,21,1,24.4,0.055555555555556,0.055555555555556,0,0.055555555555556,0,0,0,,
79,79,3/19/2016,5,Sunny,52,27,23,1014,0,W,21,0,23.6,0,0,0,0,0,0,0,,
80,80,3/20/2016,2,Sunny,54,27,23,1015,0,WSW,17,1,23.6,0.055555555555556,0.055555555555556,0,0.111111111111111,0,0,0,,
81,81,3/21/2016,4,Sunny,50,28,23,1014,0,WNW,7,2,26.5,0.111111111111111,0.111111111111111,0,0.166666666666667,0,0,0,,
82,82,3/22/2016,46,Light rain shower,60,27,23,1013,4,SSW,24,3,24.4,0.166666666666667,0.166666666666667,0,0,0,0,0,,
83,83,3/23/2016,7,Patchy light rain with thunder,64,26,24,1013,1.3,W,15,3,24.4,0.166666666666667,0.166666666666667,0,0.055555555555556,0,0,0,,
84,84,3/24/2016,0,Sunny,52,26,22,1016,0,W,16,4,23.2,0.222222222222222,0.166666666666667,0.055555555555556,0.055555555555556,0,0,0.055555555555556,,
85,85,3/25/2016,3,Sunny,52,27,24,1018,0,SW,9,1,23.1,0.055555555555556,0.055555555555556,0,0,0,0,0,,
86,86,3/26/2016,2,Sunny,53,28,24,1016,0,S,10,0,25.2,0,0,0,0.111111111111111,0,0,0,,
87,87,3/27/2016,21,Cloudy,45,31,25,1014,0,SSE,11,0,26.9,0,0,0,0,0,0,0,,
88,88,3/28/2016,32,Cloudy,39,32,27,1012,1.9,SE,15,2,29.3,0.111111111111111,0.111111111111111,0,0,0,0,0,,
89,89,3/29/2016,7,Patchy rain possible,45,33,27,1011,1.1,SE,12,0,30.9,0,0,0,0,0,0,0,,
90,90,3/30/2016,13,Sunny,51,32,26,1010,0,SW,24,2,29.2,0.111111111111111,0.111111111111111,0,0.055555555555556,0,0,0,,
91,91,3/31/2016,50,Partly cloudy,67,29,25,1011,0,WNW,14,1,26.8,0.055555555555556,0,0.055555555555556,0.055555555555556,0,0,0.055555555555556,,
92,92,4/1/2016,60,Light drizzle,60,25,23,1012,1.7,W,22,0,21.6,0,0,0,0,0,0,0,,
93,93,4/2/2016,37,Cloudy,49,25,23,1014,0,W,27,1,22.7,0.055555555555556,0.055555555555556,0,0,0,0,0,,
94,94,4/3/2016,13,Partly cloudy,49,25,22,1016,0,W,16,0,22.4,0,0,0,0,0,0,0,,
95,95,4/4/2016,58,Cloudy,49,25,22,1014,0,W,18,0,21.6,0,0,0,0,0,0,0,,
96,96,4/5/2016,4,Sunny,53,27,22,1011,0,WSW,18,1,23.2,0.055555555555556,0,0.055555555555556,0,0,0,0.055555555555556,,
97,97,4/6/2016,4,Sunny,53,28,23,1011,0,W,9,2,26.4,0.111111111111111,0.111111111111111,0,0.111111111111111,0,0,0,,
98,98,4/7/2016,6,Sunny,47,30,25,1010,0.2,WSW,8,3,28.3,0.166666666666667,0.055555555555556,0.111111111111111,0,0,0,0.111111111111111,,
99,99,4/8/2016,18,Partly cloudy,51,30,26,1009,0,WSW,10,2,28.7,0.111111111111111,0.055555555555556,0.055555555555556,0,0,0,0.055555555555556,,
100,100,4/9/2016,3,Sunny,53,30,26,1010,0,WSW,15,0,27.4,0,0,0,0,0,0,0,,
101,101,4/10/2016,1,Sunny,49,30,25,1013,0,WSW,12,0,27.4,0,0,0,0,0,0,0,,
102,102,4/11/2016,0,Sunny,42,30,25,1012,0,W,9,0,27.5,0,0,0,0.111111111111111,0,0,0,,
103,103,4/12/2016,3,Sunny,40,32,27,1010,0,SSW,11,0,29.3,0,0,0,0,0,0,0,,
104,104,4/13/2016,28,Patchy rain possible,49,32,26,1009,0.1,SSW,15,0,30.2,0,0,0,0.111111111111111,0,0,0,,
105,105,4/14/2016,51,Patchy rain possible,50,31,26,1009,0.1,SW,14,2,29.2,0.111111111111111,0,0.111111111111111,0.111111111111111,0,0,0.111111111111111,,
106,106,4/15/2016,28,Patchy rain possible,50,31,25,1009,0,WSW,14,2,27.2,0.111111111111111,0.055555555555556,0.055555555555556,0.055555555555556,0,0,0.055555555555556,,
107,107,4/16/2016,37,Patchy rain possible,45,32,25,1010,0,SW,12,0,26.7,0,0,0,0.055555555555556,0,0,0,,
108,108,4/17/2016,16,Sunny,46,32,26,1009,0,SW,14,1,24.7,0.055555555555556,0.055555555555556,0,0.055555555555556,0,0,0,,
109,109,4/18/2016,34,Patchy rain possible,50,32,26,1008,0,WSW,15,0,25.6,0,0,0,0.166666666666667,0,0,0,,
110,110,4/19/2016,32,Patchy rain possible,50,31,26,1008,0,WSW,16,0,26.6,0,0,0,0.111111111111111,0,0,0,,
111,111,4/20/2016,17,Patchy rain possible,50,31,25,1008,0,WSW,17,0,26.3,0,0,0,0.055555555555556,0,0,0,,
112,112,4/21/2016,2,Sunny,52,30,25,1012,0,W,15,2,25.9,0.111111111111111,0.111111111111111,0,0,0,0,0,,
113,113,4/22/2016,0,Sunny,53,30,25,1011,0,WSW,17,1,26.1,0.055555555555556,0.055555555555556,0,0,0,0,0,,
114,114,4/23/2016,6,Sunny,50,31,25,1009,0,WSW,13,0,27.1,0,0,0,0.111111111111111,0,0,0,,
115,115,4/24/2016,30,Partly cloudy,43,31,26,1007,1.9,SW,10,1,28.1,0.055555555555556,0.055555555555556,0,0.222222222222222,0,0,0,,
116,116,4/25/2016,0,Sunny,43,31,28,1006,0,WSW,9,2,29.1,0.111111111111111,0.055555555555556,0.055555555555556,0.055555555555556,0,0,0.055555555555556,,
117,117,4/26/2016,0,Sunny,43,33,28,1008,0,SSW,10,0,29.2,0,0,0,0.055555555555556,0,0,0,,
118,118,4/27/2016,0,Sunny,40,35,28,1009,0,SW,12,1,31.1,0.055555555555556,0,0.055555555555556,0,0,0,0.055555555555556,,
119,119,4/28/2016,6,Sunny,36,36,29,1008,0,SSW,10,2,33.7,0.111111111111111,0,0.111111111111111,0.222222222222222,0,0,0.111111111111111,,
120,120,4/29/2016,25,Partly cloudy,37,35,29,1007,0,SW,12,3,33.9,0.166666666666667,0,0.166666666666667,0,0,0,0.166666666666667,,
121,121,4/30/2016,26,Partly cloudy,35,35,30,1007,0,WSW,13,2,32.5,0.111111111111111,0,0.111111111111111,0,0,0,0.111111111111111,,
122,122,5/1/2016,3,Sunny,56,31,28,1008,0,W,20,1,28.3,0.055555555555556,0.055555555555556,0,0,0,0,0,,
123,123,5/2/2016,4,Sunny,51,31,27,1008,0,WSW,18,2,27.5,0.111111111111111,0,0.111111111111111,0.055555555555556,0,0,0.111111111111111,,
124,124,5/3/2016,8,Sunny,43,32,27,1007,0,SW,14,0,30.1,0,0,0,0,0,0,0,,
125,125,5/4/2016,0,Sunny,38,34,29,1006,0,SW,9,1,32.5,0.055555555555556,0,0.055555555555556,0,0,0,0.055555555555556,,
126,126,5/5/2016,0,Sunny,40,35,30,1006,0,SW,10,3,32.1,0.166666666666667,0,0.166666666666667,0,0,0,0.166666666666667,,
127,127,5/6/2016,0,Sunny,37,38,30,1006,0,SSE,13,0,35.8,0,0,0,0,0,0,0,,
128,128,5/7/2016,17,Cloudy,40,37,32,1006,0,SW,13,5,34.7,0.277777777777778,0.055555555555556,0.222222222222222,0,0,0,0.222222222222222,,
129,129,5/8/2016,1,Sunny,40,37,32,1006,0,W,9,5,34.1,0.277777777777778,0,0.277777777777778,0,0,0,0.277777777777778,,
130,130,5/9/2016,32,Cloudy,43,35,30,1006,0,SW,12,7,34.1,0.388888888888889,0.055555555555556,0.333333333333333,0,0,0.055555555555556,0.277777777777778,,
131,131,5/10/2016,4,Sunny,46,35,30,1006,0,WSW,13,0,33.6,0,0,0,0.055555555555556,0,0,0,,
132,132,5/11/2016,3,Sunny,43,36,31,1007,0,W,10,3,33.9,0.166666666666667,0.055555555555556,0.111111111111111,0,0,0,0.111111111111111,,
133,133,5/12/2016,0,Sunny,40,37,32,1006,0,SW,9,2,34.3,0.111111111111111,0,0.111111111111111,0,0,0,0.111111111111111,,
134,134,5/13/2016,0,Sunny,37,37,32,1005,0,WSW,12,3,35.5,0.166666666666667,0,0.166666666666667,0.055555555555556,0,0,0.166666666666667,,
135,135,5/14/2016,0,Sunny,48,36,30,1006,0,W,16,1,32.4,0.055555555555556,0,0.055555555555556,0,0,0,0.055555555555556,,
136,136,5/15/2016,0,Sunny,53,35,28,1006,0,SSW,13,2,31.2,0.111111111111111,0.055555555555556,0.055555555555556,0.055555555555556,0,0,0.055555555555556,,
137,137,5/16/2016,0,Sunny,49,36,32,1005,0,W,9,1,31.8,0.055555555555556,0,0.055555555555556,0,0,0,0.055555555555556,,
138,138,5/17/2016,0,Sunny,42,37,32,1004,0,SSW,10,2,35.8,0.111111111111111,0,0.111111111111111,0,0,0,0.111111111111111,,
139,139,5/18/2016,0,Sunny,36,38,33,1003,0,SSW,13,3,36.6,0.166666666666667,0,0.166666666666667,0,0,0.055555555555556,0.111111111111111,,
140,140,5/19/2016,10,Patchy rain possible,49,35,28,1005,0,WSW,16,1,35.8,0.055555555555556,0,0.055555555555556,0.111111111111111,0,0,0.055555555555556,,
141,141,5/20/2016,0,Sunny,49,36,28,1005,0,WSW,14,2,34.9,0.111111111111111,0,0.111111111111111,0,0,0,0.111111111111111,,
142,142,5/21/2016,1,Sunny,46,36,29,1004,0,SW,15,3,31.8,0.166666666666667,0,0.166666666666667,0,0,0.055555555555556,0.111111111111111,,
143,143,5/22/2016,0,Sunny,55,35,30,1003,0,WSW,22,2,30.4,0.111111111111111,0,0.111111111111111,0.111111111111111,0,0,0.111111111111111,,
144,144,5/23/2016,0,Sunny,55,36,29,1003,0,SW,18,2,30.3,0.111111111111111,0,0.111111111111111,0,0,0,0.111111111111111,,
145,145,5/24/2016,0,Sunny,50,37,29,1002,0,WSW,15,1,32.1,0.055555555555556,0,0.055555555555556,0.111111111111111,0,0,0.055555555555556,,
146,146,5/25/2016,0,Sunny,47,37,31,1001,0,WSW,17,3,33,0.166666666666667,0.055555555555556,0.111111111111111,0,0,0,0.111111111111111,,
147,147,5/26/2016,0,Sunny,51,33,30,1002,0,WSW,20,4,30.5,0.222222222222222,0,0.222222222222222,0,0,0,0.222222222222222,,
148,148,5/27/2016,0,Sunny,56,32,28,1004,0,SW,15,0,29.9,0,0,0,0,0,0,0,,
149,149,5/28/2016,0,Sunny,62,30,29,1004,0,SW,7,0,31.2,0,0,0,0,0,0,0,,
150,150,5/29/2016,0,Sunny,44,38,32,1003,0,SW,11,2,33.4,0.111111111111111,0.055555555555556,0.055555555555556,0,0,0,0.055555555555556,,
151,151,5/30/2016,0,Sunny,43,38,31,1000,0,WSW,18,0,35.3,0,0,0,0.166666666666667,0,0,0,,
152,152,5/31/2016,0,Sunny,46,37,32,1001,0,WSW,18,1,35.1,0.055555555555556,0,0.055555555555556,0.055555555555556,0,0.055555555555556,0,,
153,153,6/1/2016,0,Sunny,49,38,30,1001,0,WSW,13,1,32.3,0.055555555555556,0.055555555555556,0,0.111111111111111,0,0,0,,
154,154,6/2/2016,0,Sunny,52,34,30,1003,0,W,28,1,32.1,0.055555555555556,0,0.055555555555556,0,0,0,0.055555555555556,,
155,155,6/3/2016,0,Sunny,52,35,29,1003,0,WSW,17,1,31.3,0.055555555555556,0,0.055555555555556,0,0,0,0.055555555555556,,
156,156,6/4/2016,0,Sunny,51,36,29,1004,0,SSW,11,0,32.3,0,0,0,0,0,0,0,,
157,157,6/5/2016,0,Sunny,52,37,31,1006,0,SSW,13,2,33.9,0.111111111111111,0.055555555555556,0.055555555555556,0,0,0,0.055555555555556,,
158,158,6/6/2016,0,Sunny,49,38,32,1005,0,SSE,12,0,34.9,0,0,0,0,0,0,0,,
159,159,6/7/2016,0,Sunny,44,37,32,1004,0,SSW,9,2,35.1,0.111111111111111,0,0.111111111111111,0.055555555555556,0,0,0.111111111111111,,
160,160,6/8/2016,0,Sunny,45,37,32,1002,0,WSW,11,0,33.7,0,0,0,0,0,0,0,,
161,161,6/9/2016,0,Sunny,53,37,31,1000,0,WSW,17,4,32.8,0.222222222222222,0.111111111111111,0.111111111111111,0,0,0,0.111111111111111,,
162,162,6/10/2016,0,Sunny,50,35,29,1001,0,SSW,14,2,33.8,0.111111111111111,0.055555555555556,0.055555555555556,0.055555555555556,0,0.055555555555556,0,,
163,163,6/11/2016,0,Sunny,46,39,31,1000,0,WSW,13,0,34.8,0,0,0,0,0,0,0,,
164,164,6/12/2016,0,Sunny,47,39,31,1000,0,SW,21,1,34.2,0.055555555555556,0,0.055555555555556,0,0,0,0.055555555555556,,
165,165,6/13/2016,0,Sunny,49,37,30,1000,0,WSW,28,0,32.7,0,0,0,0,0,0,0,,
166,166,6/14/2016,0,Sunny,52,35,30,1000,0,WSW,19,5,31,0.277777777777778,0,0.277777777777778,0.111111111111111,0,0.166666666666667,0.111111111111111,,
167,167,6/15/2016,2,Sunny,50,34,29,1000,0,S,12,0,32.5,0,0,0,0,0,0,0,,
168,168,6/16/2016,3,Sunny,49,38,31,998,0,SW,15,0,36.7,0,0,0,0.055555555555556,0,0,0,,
169,169,6/17/2016,8,Sunny,39,40,32,999,0,SSE,12,1,36.1,0.055555555555556,0,0.055555555555556,0,0,0.055555555555556,0,,
170,170,6/18/2016,20,Partly cloudy,46,38,32,1001,0,SSW,15,0,34.6,0,0,0,0,0,0,0,,
171,171,6/19/2016,10,Partly cloudy,51,38,31,1001,0,W,15,3,33.8,0.166666666666667,0.055555555555556,0.111111111111111,0,0,0.055555555555556,0.055555555555556,,
172,172,6/20/2016,2,Sunny,50,38,31,1000,0,SW,12,0,33.9,0,0,0,0.055555555555556,0,0,0,,
173,173,6/21/2016,1,Sunny,48,38,33,998,0,W,10,3,34.9,0.166666666666667,0,0.166666666666667,0,0,0,0.166666666666667,,
174,174,6/22/2016,2,Sunny,36,41,33,998,0,SE,10,1,36.8,0.055555555555556,0,0.055555555555556,0,0,0,0.055555555555556,,
175,175,6/23/2016,4,Sunny,35,40,33,999,0,SE,12,1,36.9,0.055555555555556,0,0.055555555555556,0.055555555555556,0,0,0.055555555555556,,
176,176,6/24/2016,1,Sunny,37,40,33,998,0,SE,10,2,37.7,0.111111111111111,0,0.111111111111111,0,0,0,0.111111111111111,,
177,177,6/25/2016,0,Sunny,37,41,33,999,0,SW,12,0,37.1,0,0,0,0.055555555555556,0,0,0,,
178,178,6/26/2016,0,Sunny,38,41,33,999,0,SW,13,2,37.4,0.111111111111111,0,0.111111111111111,0.055555555555556,0,0.055555555555556,0.055555555555556,,
179,179,6/27/2016,2,Sunny,42,40,33,997,0,SSW,14,3,36.2,0.166666666666667,0,0.166666666666667,0,0,0,0.166666666666667,,
180,180,6/28/2016,1,Sunny,46,41,33,997,0,E,10,3,36,0.166666666666667,0.111111111111111,0.055555555555556,0,0,0.055555555555556,0,,
181,181,6/29/2016,2,Sunny,47,40,33,999,0,ENE,13,1,38.6,0.055555555555556,0,0.055555555555556,0.222222222222222,0,0,0.055555555555556,,
182,182,6/30/2016,5,Sunny,48,40,35,998,0,SW,14,2,37.3,0.111111111111111,0,0.111111111111111,0,0,0,0.111111111111111,,
183,183,7/1/2016,2,Sunny,50,39,34,996,0,WSW,10,6,35.9,0.333333333333333,0.166666666666667,0.166666666666667,0,0,0,0.166666666666667,,
184,184,7/2/2016,0,Sunny,54,39,33,994,0,WSW,13,0,34.8,0,0,0,0.111111111111111,0,0,0,,
185,185,7/3/2016,2,Sunny,59,41,32,993,0,WSW,13,1,35.2,0.055555555555556,0.055555555555556,0,0.055555555555556,0,0,0,,
186,186,7/4/2016,0,Sunny,58,40,34,994,0,SSW,13,1,36.6,0.055555555555556,0,0.055555555555556,0.111111111111111,0,0,0.055555555555556,,
187,187,7/5/2016,0,Sunny,59,40,34,995,0,WSW,11,4,36.8,0.222222222222222,0,0.222222222222222,0,0,0.055555555555556,0.166666666666667,,
188,188,7/6/2016,0,Sunny,58,39,35,996,0,W,10,3,36.1,0.166666666666667,0,0.166666666666667,0.166666666666667,0,0,0.166666666666667,,
189,189,7/7/2016,0,Sunny,53,39,33,997,0,WSW,13,2,35.6,0.111111111111111,0.055555555555556,0.055555555555556,0.055555555555556,0,0,0.055555555555556,,
190,190,7/8/2016,1,Sunny,50,40,33,998,0,WSW,11,2,35.6,0.111111111111111,0,0.111111111111111,0.055555555555556,0,0.055555555555556,0.055555555555556,,
191,191,7/9/2016,3,Sunny,53,40,32,996,0,WSW,14,5,34.9,0.277777777777778,0.111111111111111,0.166666666666667,0,0,0,0.166666666666667,,
192,192,7/10/2016,2,Sunny,58,41,33,996,0,SW,17,6,35.6,0.333333333333333,0,0.333333333333333,0.055555555555556,0,0.055555555555556,0.277777777777778,,
193,193,7/11/2016,0,Sunny,52,41,32,995,0,SW,16,1,35.8,0.055555555555556,0.055555555555556,0,0.222222222222222,0,0,0,,
