Date,Failure.Rate,Temp,Cloud,Disc,Humidity,MaxTemp,MinTemp,Pressure,Rain,WindDir,WindSpeed,
5/2/2016,0.222222222222222,27.5,4,Sunny,51,31,27,1008,0,WSW,18,
5/3/2016,0,30.1,8,Sunny,43,32,27,1007,0,SW,14,
5/4/2016,0.111111111111111,32.5,0,Sunny,38,34,29,1006,0,SW,9,
5/5/2016,0.166666666666667,32.1,0,Sunny,40,35,30,1006,0,SW,10,
5/6/2016,0,35.8,0,Sunny,37,38,30,1006,0,SSE,13,
5/7/2016,0.277777777777778,34.7,17,Cloudy,40,37,32,1006,0,SW,13,
5/8/2016,0.277777777777778,34.1,1,Sunny,40,37,32,1006,0,W,9,
5/9/2016,0.444444444444444,34.1,32,Cloudy,43,35,30,1006,0,SW,12,
5/10/2016,0.055555555555556,33.6,4,Sunny,46,35,30,1006,0,WSW,13,
5/11/2016,0.166666666666667,33.9,3,Sunny,43,36,31,1007,0,W,10,
5/12/2016,0.111111111111111,34.3,0,Sunny,40,37,32,1006,0,SW,9,
5/13/2016,0.222222222222222,35.5,0,Sunny,37,37,32,1005,0,WSW,12,
5/14/2016,0.111111111111111,32.4,0,Sunny,48,36,30,1006,0,W,16,
5/15/2016,0.166666666666667,31.2,0,Sunny,53,35,28,1006,0,SSW,13,
5/16/2016,0.055555555555556,31.8,0,Sunny,49,36,32,1005,0,W,9,
5/17/2016,0.166666666666667,35.8,0,Sunny,42,37,32,1004,0,SSW,10,
5/18/2016,0.166666666666667,36.6,0,Sunny,36,38,33,1003,0,SSW,13,
5/19/2016,0.222222222222222,35.8,10,Patchy rain possible,49,35,28,1005,0,WSW,16,
5/20/2016,0.111111111111111,34.9,0,Sunny,49,36,28,1005,0,WSW,14,
5/21/2016,0.166666666666667,31.8,1,Sunny,46,36,29,1004,0,SW,15,
5/22/2016,0.277777777777778,30.4,0,Sunny,55,35,30,1003,0,WSW,22,
5/23/2016,0.166666666666667,30.3,0,Sunny,55,36,29,1003,0,SW,18,
5/24/2016,0.166666666666667,32.1,0,Sunny,50,37,29,1002,0,WSW,15,
5/25/2016,0.166666666666667,33,0,Sunny,47,37,31,1001,0,WSW,17,
5/26/2016,0.277777777777778,30.5,0,Sunny,51,33,30,1002,0,WSW,20,
5/27/2016,0,29.9,0,Sunny,56,32,28,1004,0,SW,15,
5/28/2016,0,31.2,0,Sunny,62,30,29,1004,0,SW,7,
5/29/2016,0.111111111111111,33.4,0,Sunny,44,38,32,1003,0,SW,11,
5/30/2016,0.166666666666667,35.3,0,Sunny,43,38,31,1000,0,WSW,18,
5/31/2016,0.111111111111111,35.1,0,Sunny,46,37,32,1001,0,WSW,18,
6/1/2016,0.166666666666667,32.3,0,Sunny,49,38,30,1001,0,WSW,13,
6/2/2016,0.111111111111111,32.1,0,Sunny,52,34,30,1003,0,W,28,
6/3/2016,0.111111111111111,31.3,0,Sunny,52,35,29,1003,0,WSW,17,
6/4/2016,0,32.3,0,Sunny,51,36,29,1004,0,SSW,11,
6/5/2016,0.111111111111111,33.9,0,Sunny,52,37,31,1006,0,SSW,13,
6/6/2016,0,34.9,0,Sunny,49,38,32,1005,0,SSE,12,
6/7/2016,0.166666666666667,35.1,0,Sunny,44,37,32,1004,0,SSW,9,
6/8/2016,0,33.7,0,Sunny,45,37,32,1002,0,WSW,11,
6/9/2016,0.222222222222222,32.8,0,Sunny,53,37,31,1000,0,WSW,17,
6/10/2016,0.166666666666667,33.8,0,Sunny,50,35,29,1001,0,SSW,14,
6/11/2016,0,34.8,0,Sunny,46,39,31,1000,0,WSW,13,
6/12/2016,0.055555555555556,34.2,0,Sunny,47,39,31,1000,0,SW,21,
6/13/2016,0,32.7,0,Sunny,49,37,30,1000,0,WSW,28,
6/14/2016,0.444444444444444,31,0,Sunny,52,35,30,1000,0,WSW,19,
6/15/2016,0,32.5,2,Sunny,50,34,29,1000,0,S,12,
6/16/2016,0.111111111111111,36.7,3,Sunny,49,38,31,998,0,SW,15,
6/17/2016,0.055555555555556,36.1,8,Sunny,39,40,32,999,0,SSE,12,
6/18/2016,0.055555555555556,34.6,20,Partly cloudy,46,38,32,1001,0,SSW,15,
6/19/2016,0.222222222222222,33.8,10,Partly cloudy,51,38,31,1001,0,W,15,
6/20/2016,0.055555555555556,33.9,2,Sunny,50,38,31,1000,0,SW,12,
6/21/2016,0.166666666666667,34.9,1,Sunny,48,38,33,998,0,W,10,
6/22/2016,0.055555555555556,36.8,2,Sunny,36,41,33,998,0,SE,10,
6/23/2016,0.166666666666667,36.9,4,Sunny,35,40,33,999,0,SE,12,
6/24/2016,0.111111111111111,37.7,1,Sunny,37,40,33,998,0,SE,10,
6/25/2016,0.055555555555556,37.1,0,Sunny,37,41,33,999,0,SW,12,
6/26/2016,0.166666666666667,37.4,0,Sunny,38,41,33,999,0,SW,13,
6/27/2016,0.333333333333333,36.2,2,Sunny,42,40,33,997,0,SSW,14,
6/28/2016,0.166666666666667,36,1,Sunny,46,41,33,997,0,E,10,
6/29/2016,0.277777777777778,38.6,2,Sunny,47,40,33,999,0,ENE,13,
6/30/2016,0.166666666666667,37.3,5,Sunny,48,40,35,998,0,SW,14,
7/1/2016,0.388888888888889,35.9,2,Sunny,50,39,34,996,0,WSW,10,
7/2/2016,0.222222222222222,34.8,0,Sunny,54,39,33,994,0,WSW,13,
7/3/2016,0.111111111111111,35.2,2,Sunny,59,41,32,993,0,WSW,13,
7/4/2016,0.277777777777778,36.6,0,Sunny,58,40,34,994,0,SSW,13,
7/5/2016,0.277777777777778,36.8,0,Sunny,59,40,34,995,0,WSW,11,
7/6/2016,0.333333333333333,36.1,0,Sunny,58,39,35,996,0,W,10,
7/7/2016,0.333333333333333,35.6,0,Sunny,53,39,33,997,0,WSW,13,
7/8/2016,0.166666666666667,35.6,1,Sunny,50,40,33,998,0,WSW,11,
7/9/2016,0.333333333333333,34.9,3,Sunny,53,40,32,996,0,WSW,14,
7/10/2016,0.444444444444444,35.6,2,Sunny,58,41,33,996,0,SW,17,
7/11/2016,0.333333333333333,35.8,0,Sunny,52,41,32,995,0,SW,16,
7/12/2016,0.222222222222222,34.9,0,Sunny,59,40,32,996,0,WSW,15,
7/13/2016,0.111111111111111,34.7,1,Sunny,58,39,32,996,0,WSW,12,
7/14/2016,0.166666666666667,36.4,10,Sunny,55,40,33,996,0,E,10,
7/15/2016,0.277777777777778,40.4,12,Sunny,46,42,34,997,0,NE,11,
7/16/2016,0,40.3,0,Sunny,42,41,35,996,0,ESE,12,
7/17/2016,0.277777777777778,40.7,1,Sunny,41,43,35,996,0,S,13,
7/18/2016,0.611111111111111,39.1,3,Sunny,49,40,32,996,0,S,14,
7/19/2016,0.444444444444444,38.2,2,Sunny,49,40,33,996,0,SSW,14,
7/20/2016,0.222222222222222,38.6,7,Sunny,49,40,32,995,0,SSW,12,
7/21/2016,0.222222222222222,39.5,7,Sunny,47,40,33,996,0,S,13,
7/22/2016,1,38.8,3,Sunny,49,40,33,996,0,SSW,13,
7/23/2016,0.555555555555556,38.1,11,Patchy rain possible,51,40,32,996,0,SW,13,
7/24/2016,0.277777777777778,38,5,Sunny,51,40,33,996,0,S,14,
7/25/2016,0.222222222222222,37.1,9,Sunny,49,40,33,996,0,S,15,
7/26/2016,0,36.3,19,Patchy rain possible,51,40,33,996,0.1,SSW,13,
7/27/2016,0.222222222222222,34.9,22,Sunny,49,40,33,996,0,S,13,
7/28/2016,0.166666666666667,34.4,4,Sunny,55,37,32,1000,0,E,15,
7/29/2016,0.111111111111111,34.9,11,Partly cloudy,55,37,32,1000,0,S,14,
7/30/2016,0.055555555555556,36.3,4,Sunny,57,38,32,999,0,SW,11,
7/31/2016,0.055555555555556,36.9,9,Partly cloudy,56,39,33,1000,0,SSW,12,
8/1/2016,0.222222222222222,37.6,13,Sunny,51,40,34,999,0,SW,11,
8/2/2016,0.055555555555556,37.6,4,Patchy rain possible,45,40,33,996,1.3,SW,10,
8/3/2016,0,40.9,8,Sunny,36,42,34,994,0.4,ENE,11,
8/4/2016,0.111111111111111,41.4,9,Sunny,36,42,36,996,0,E,19,
8/5/2016,0.166666666666667,40.2,17,Sunny,39,41,37,998,0.2,SSW,13,
8/6/2016,0.222222222222222,39.9,9,Sunny,45,40,36,997,0,WNW,10,
8/7/2016,0.055555555555556,39.7,0,Sunny,46,41,34,997,0,SSW,12,
8/8/2016,0.111111111111111,40.2,0,Sunny,39,41,35,998,0,SE,12,
8/9/2016,0.222222222222222,38.2,17,Partly cloudy,41,41,35,998,0,SSW,10,
8/10/2016,0.166666666666667,37.6,19,Partly cloudy,52,39,34,998,0,WSW,9,
8/11/2016,0.222222222222222,38.4,7,Sunny,49,40,33,998,0,WSW,11,
8/12/2016,0.222222222222222,39.4,0,Sunny,45,40,35,1001,0,WSW,9,
8/13/2016,0.055555555555556,39.1,0,Sunny,43,41,36,1000,0,SW,11,
8/14/2016,0.111111111111111,37.1,0,Sunny,50,41,34,999,0,SSW,11,
8/15/2016,0,36.7,1,Sunny,50,41,33,998,0,SW,11,
8/16/2016,0.111111111111111,35.9,11,Sunny,52,39,33,998,0,SW,11,
8/17/2016,0.111111111111111,39.1,8,Sunny,41,42,34,996,0,E,12,
8/18/2016,0.111111111111111,40.4,0,Sunny,34,42,34,997,0,ENE,17,
8/19/2016,0.166666666666667,37.8,0,Sunny,37,40,33,1000,0,ENE,14,
8/20/2016,0.055555555555556,35.5,0,Sunny,44,38,34,1001,0,WSW,12,
8/21/2016,0.111111111111111,35.6,0,Sunny,48,39,32,1001,0,SW,12,
8/22/2016,0.111111111111111,36.3,0,Sunny,47,40,32,1001,0,S,13,
8/23/2016,0.111111111111111,37.9,4,Sunny,38,40,34,1001,0,SE,11,
8/24/2016,0.111111111111111,37.4,4,Sunny,36,40,34,1000,0,SE,10,
8/25/2016,0.166666666666667,38.6,0,Sunny,36,40,33,1002,0,E,11,
8/26/2016,0.111111111111111,37.3,0,Sunny,39,40,33,1004,0,SW,12,
8/27/2016,0,36.4,0,Sunny,52,40,33,1003,0,SW,10,
8/28/2016,0.333333333333333,36.3,0,Sunny,49,40,31,1003,0,S,11,
8/29/2016,0.111111111111111,37.9,0,Sunny,31,42,34,1003,0,SSE,12,
8/30/2016,0.166666666666667,36.5,0,Sunny,40,40,33,1002,0,S,12,
8/31/2016,0,35.6,0,Sunny,46,39,35,1001,0,NW,15,
9/1/2016,0,35.4,0,Sunny,53,39,31,1000,0,SW,12,
9/2/2016,0.055555555555556,36.4,16,Partly cloudy,51,39,32,1000,0,S,9,
9/3/2016,0,37.5,9,Sunny,48,40,33,1000,0,SSE,12,
9/4/2016,0.166666666666667,37.2,15,Partly cloudy,46,41,33,1002,0,SSE,11,
9/5/2016,0.111111111111111,36.7,1,Sunny,51,39,33,1003,0,SW,14,
9/6/2016,0.222222222222222,36.1,0,Sunny,56,39,33,1002,0,SSW,9,
9/7/2016,0,36.3,0,Sunny,55,41,32,1001,0,ESE,14,
9/8/2016,0.222222222222222,35.3,0,Sunny,53,39,32,1003,0,ESE,13,
9/9/2016,0.055555555555556,34.3,0,Sunny,61,38,31,1005,0,E,15,
9/10/2016,0.222222222222222,34.1,0,Sunny,58,37,30,1005,0,S,13,
9/11/2016,0.277777777777778,33.9,0,Sunny,61,37,31,1004,0,SSW,10,
9/12/2016,0.222222222222222,34.7,0,Sunny,62,38,32,1003,0,SSW,9,
9/13/2016,0.166666666666667,35.3,10,Sunny,54,40,31,1004,0,NE,13,
9/14/2016,0.222222222222222,35.1,6,Sunny,52,39,31,1005,0,SSE,12,
9/15/2016,0.277777777777778,34.1,1,Sunny,56,37,32,1005,0,SW,14,
9/16/2016,0.055555555555556,33.6,0,Sunny,62,36,32,1005,0,W,10,
9/17/2016,0.166666666666667,33.7,0,Sunny,66,37,32,1004,0,W,10,
9/18/2016,0.111111111111111,33.9,0,Sunny,61,38,30,1003,0,SW,13,
9/19/2016,0.222222222222222,34.6,0,Sunny,52,38,31,1004,0,S,10,
9/20/2016,0.055555555555556,33.7,0,Sunny,59,38,30,1004,0,SSW,14,
9/21/2016,0,33.1,0,Sunny,57,36,30,1005,0,W,10,
9/22/2016,0.055555555555556,33.8,0,Sunny,56,37,31,1006,0,SSW,10,
9/23/2016,0.222222222222222,33.2,0,Sunny,56,37,31,1005,0,SSW,11,
9/24/2016,0.222222222222222,33.2,0,Sunny,66,37,30,1003,0,SW,11,
9/25/2016,0.055555555555556,33.2,0,Sunny,66,37,30,1003,0,WSW,13,
9/26/2016,0.055555555555556,33.3,0,Sunny,66,37,31,1006,0,W,10,
9/27/2016,0.111111111111111,33.4,0,Sunny,60,37,30,1007,0,SSW,12,
9/28/2016,0.111111111111111,32.8,0,Sunny,64,37,31,1007,0,SW,13,
9/29/2016,0.166666666666667,33.5,0,Sunny,62,37,30,1004,0,WSW,17,
9/30/2016,0.166666666666667,32.6,0,Sunny,56,35,30,1004,0,WSW,19,
10/1/2016,0.055555555555556,31.8,0,Sunny,56,36,29,1005,0,SW,10,
10/2/2016,0.055555555555556,33,2,Sunny,60,37,29,1008,0,S,12,
10/3/2016,0.277777777777778,31.9,6,Sunny,65,34,30,1008,0.6,W,13,
10/4/2016,0.166666666666667,31.6,13,Sunny,63,33,29,1007,0,WNW,12,
10/5/2016,0.055555555555556,31.7,8,Sunny,62,34,29,1006,0,W,11,
10/6/2016,0,31.8,4,Sunny,63,34,30,1007,0,W,11,
10/7/2016,0,31.9,1,Sunny,57,34,30,1008,0,WNW,9,
10/8/2016,0,32.6,2,Sunny,61,35,31,1009,0,W,7,
10/9/2016,0.111111111111111,32.4,0,Sunny,60,36,31,1009,0,W,10,
10/10/2016,0.055555555555556,32.9,1,Sunny,50,37,30,1009,0,W,13,
10/11/2016,0.222222222222222,31.1,0,Sunny,46,36,29,1009,0,W,13,
10/12/2016,0.222222222222222,30.6,0,Sunny,53,34,28,1009,0,WSW,10,
10/13/2016,0.055555555555556,30.9,0,Sunny,55,34,30,1009,0,W,10,
10/14/2016,0.055555555555556,31.2,3,Sunny,56,35,29,1009,0,W,9,
10/15/2016,0.055555555555556,30.8,1,Sunny,58,34,30,1010,0,WNW,11,
10/16/2016,0.222222222222222,30.4,2,Sunny,54,34,30,1010,0,W,9,
10/17/2016,0,31.6,4,Sunny,50,34,29,1011,0,SSE,10,
10/18/2016,0.055555555555556,31.9,2,Sunny,49,35,29,1011,0,SE,8,
10/19/2016,0.055555555555556,31.6,2,Sunny,51,34,29,1011,0,SSE,12,
10/20/2016,0,30.4,0,Sunny,56,33,27,1010,0,W,8,
10/21/2016,0,30.2,0,Sunny,59,33,27,1009,0,WSW,7,
10/22/2016,0,29.8,0,Sunny,62,33,26,1010,0,SSW,11,
10/23/2016,0.111111111111111,30.3,1,Sunny,61,33,28,1011,0,SW,10,
10/24/2016,0.388888888888889,30,0,Sunny,61,32,28,1011,0,SW,9,
10/25/2016,0.055555555555556,30.9,0,Sunny,51,35,27,1011,0,ENE,10,
10/26/2016,0.111111111111111,31.8,0,Sunny,38,36,28,1013,0,ENE,12,
10/27/2016,0.166666666666667,30.9,0,Sunny,36,35,28,1016,0,ESE,12,
10/28/2016,0.111111111111111,30.2,0,Sunny,43,35,28,1016,0,S,12,
10/29/2016,0.055555555555556,29.6,6,Sunny,60,33,27,1013,0,WNW,12,
10/30/2016,0,29.1,14,Sunny,60,32,26,1011,0,WSW,8,
10/31/2016,0.111111111111111,29.7,3,Sunny,60,35,27,1014,0,SSE,8,
11/1/2016,0.222222222222222,29.5,6,Sunny,57,34,26,1015,0,SSE,13,
11/2/2016,0,29.7,4,Sunny,52,32,26,1014,0,S,12,
11/3/2016,0.166666666666667,29.6,0,Sunny,51,33,26,1015,0,SW,12,
11/4/2016,0,29,1,Sunny,63,32,27,1016,0,WSW,8,
11/5/2016,0.055555555555556,28.6,0,Sunny,59,32,27,1013,0,W,8,
11/6/2016,0.111111111111111,29.1,0,Sunny,53,34,25,1013,0,WSW,9,
11/7/2016,0.055555555555556,29.1,0,Sunny,55,32,27,1015,0,W,10,
11/8/2016,0.055555555555556,28.1,8,Sunny,55,31,26,1016,0,WNW,17,
11/9/2016,0.055555555555556,26.9,40,Cloudy,51,30,25,1016,0,WSW,10,
11/10/2016,0.166666666666667,27.2,0,Sunny,52,30,23,1016,0,SSE,9,
11/11/2016,0,28,0,Sunny,41,32,25,1015,0,NE,14,
11/12/2016,0.111111111111111,28.3,0,Sunny,32,33,25,1016,0,ENE,12,
11/13/2016,0.111111111111111,27.8,0,Sunny,30,33,25,1018,0,ENE,9,
11/14/2016,0.222222222222222,26.7,0,Sunny,39,32,25,1018,0,SSW,8,
11/15/2016,0.055555555555556,26.6,0,Sunny,59,30,24,1016,0,WSW,8,
11/16/2016,0.111111111111111,26.7,0,Sunny,62,30,23,1015,0,SSW,8,
11/17/2016,0.166666666666667,26.8,0,Sunny,60,30,24,1017,0,SE,9,
11/18/2016,0,26.6,0,Sunny,55,30,24,1017,0,SSW,8,
